acelX,acelY,acelZ,output
-0.96, 0.05, 9.39, IDLE
-1.05, 0.13, 9.79, IDLE
-1.03, 0.14, 9.81, IDLE
-1.11, 0.16, 9.90, IDLE
-1.01, 0.41, 9.80, IDLE
-1.02, 0.37, 9.81, IDLE
-0.98, 0.31, 9.79, IDLE
-1.17, 0.56, 9.82, IDLE
-1.06, 0.50, 9.79, IDLE
-1.24, 0.71, 9.74, IDLE
-0.97, 0.30, 9.86, IDLE
-0.43, 0.58, 9.74, IDLE
-0.33, -0.10, 9.83, IDLE
-0.40, 0.29, 9.88, IDLE
-0.59, -0.27, 9.85, IDLE
-0.55, -0.29, 9.83, IDLE
-0.49, -0.34, 9.80, IDLE
-0.43, -0.69, 9.74, IDLE
-0.52, -0.63, 9.84, IDLE
-0.56, -0.43, 9.87, IDLE
-0.51, -0.26, 9.86, IDLE
-0.38, -0.08, 9.80, IDLE
0.01, 0.01, 9.83, IDLE
0.00, -1.55, 9.60, IDLE
0.96, 0.17, 9.69, IDLE
1.04, 0.44, 10.00, IDLE
0.88, 0.11, 10.14, IDLE
0.74, -0.17, 9.86, IDLE
0.42, -0.11, 9.81, IDLE
0.89, -0.07, 10.03, IDLE
1.80, -0.25, 9.61, IDLE
1.54, -0.08, 9.83, IDLE
1.31, -0.13, 9.68, IDLE
0.95, 0.19, 10.14, IDLE
1.09, -0.11, 9.85, IDLE
1.32, 0.12, 9.73, IDLE
1.29, -0.09, 9.72, IDLE
1.18, 0.11, 9.83, IDLE
1.09, 0.10, 9.87, IDLE
1.15, 0.22, 9.87, IDLE
1.18, 0.16, 9.88, IDLE
1.28, 0.20, 9.86, IDLE
1.12, 0.05, 9.91, IDLE
1.11, -0.07, 9.87, IDLE
0.99, -0.24, 9.84, IDLE
1.09, -0.30, 9.80, IDLE
1.27, -0.33, 9.65, IDLE
0.84, -0.45, 9.90, IDLE
0.86, -0.17, 9.93, IDLE
0.78, -0.20, 9.78, IDLE
0.61, -0.38, 10.01, IDLE
0.63, -0.33, 10.04, IDLE
0.63, -0.44, 9.80, IDLE
0.65, -0.18, 9.99, IDLE
0.69, -0.16, 9.88, IDLE
0.63, -0.17, 9.72, IDLE
0.61, -0.38, 9.64, IDLE
0.63, -0.20, 9.91, IDLE
0.80, -0.35, 9.70, IDLE
0.81, -0.30, 9.87, IDLE
0.81, -0.43, 9.86, IDLE
0.84, -0.42, 9.82, IDLE
0.91, -0.45, 9.78, IDLE
0.77, -0.51, 10.02, IDLE
0.81, -0.65, 9.74, IDLE
0.95, -0.32, 9.89, IDLE
0.90, -0.37, 9.96, IDLE
1.00, -0.54, 9.69, IDLE
1.15, -0.52, 9.84, IDLE
1.16, -0.49, 9.84, IDLE
1.22, -0.54, 9.83, IDLE
1.27, -0.50, 9.84, IDLE
1.32, -0.45, 9.81, IDLE
1.46, -0.47, 9.86, IDLE
1.50, -0.47, 9.78, IDLE
1.58, -0.40, 9.72, IDLE
1.54, -0.59, 9.65, IDLE
1.53, -0.62, 9.78, IDLE
1.62, -0.61, 9.76, IDLE
1.68, -0.64, 9.66, IDLE
1.63, -0.61, 9.84, IDLE
1.67, -0.57, 9.79, IDLE
1.73, -0.62, 9.79, IDLE
1.82, -0.50, 9.79, IDLE
1.78, -0.62, 9.80, IDLE
1.89, -0.52, 9.74, IDLE
1.67, -0.57, 9.79, IDLE
1.73, -0.62, 9.79, IDLE
1.82, -0.50, 9.79, IDLE
1.78, -0.62, 9.80, IDLE
1.89, -0.52, 9.74, IDLE
1.94, -0.50, 9.67, IDLE
1.97, -0.50, 9.66, IDLE
1.96, -0.61, 9.80, IDLE
1.94, -0.58, 9.81, IDLE
1.93, -0.57, 9.57, IDLE
1.95, -0.65, 9.72, IDLE
1.98, -0.56, 9.63, IDLE
1.98, -0.64, 9.68, IDLE
1.94, -0.58, 9.70, IDLE
1.76, -0.71, 9.50, IDLE
1.72, -0.66, 9.94, IDLE
1.64, -0.59, 9.68, IDLE
1.51, -0.64, 9.88, IDLE
1.53, -0.52, 9.86, IDLE
1.26, -0.79, 9.83, IDLE
1.26, -0.70, 9.80, IDLE
1.21, -0.66, 9.74, IDLE
1.17, -0.71, 9.84, IDLE
1.11, -0.77, 9.77, IDLE
1.17, -0.67, 9.84, IDLE
1.17, -0.71, 9.76, IDLE
1.33, -0.57, 9.80, IDLE
1.55, -0.53, 9.89, IDLE
1.57, -0.48, 9.87, IDLE
1.47, -0.38, 9.83, IDLE
1.51, -0.39, 9.86, IDLE
1.34, -0.45, 9.81, IDLE
1.13, -0.47, 9.75, IDLE
1.06, -0.54, 9.86, IDLE
0.98, -0.44, 9.84, IDLE
0.87, -0.66, 9.86, IDLE
0.95, -0.44, 9.84, IDLE
0.87, -0.52, 9.85, IDLE
0.97, -0.52, 9.70, IDLE
1.01, -0.47, 9.91, IDLE
0.85, -0.72, 9.85, IDLE
0.76, -0.58, 9.90, IDLE
0.79, -0.49, 9.75, IDLE
0.78, -0.61, 9.80, IDLE
0.63, -0.48, 9.98, IDLE
0.68, -0.48, 9.73, IDLE
0.97, -0.52, 9.70, IDLE
1.01, -0.47, 9.91, IDLE
0.85, -0.72, 9.85, IDLE
0.76, -0.58, 9.90, IDLE
0.79, -0.49, 9.75, IDLE
0.78, -0.61, 9.80, IDLE
0.63, -0.48, 9.98, IDLE
0.68, -0.48, 9.73, IDLE
0.45, -0.46, 9.94, IDLE
0.41, -0.39, 9.73, IDLE
0.12, -0.31, 9.92, IDLE
0.44, -0.22, 9.89, IDLE
0.53, -0.23, 9.86, IDLE
0.97, -0.01, 9.81, IDLE
0.77, -0.21, 9.96, IDLE
0.91, -0.16, 9.82, IDLE
1.10, -0.05, 9.88, IDLE
1.22, -0.08, 9.77, IDLE
1.20, -0.07, 9.83, IDLE
1.24, -0.14, 9.79, IDLE
1.31, -0.03, 9.84, IDLE
1.33, -0.05, 9.79, IDLE
1.39, 0.06, 9.88, IDLE
1.50, 0.03, 9.73, IDLE
1.56, 0.06, 9.73, IDLE
1.52, 0.02, 9.79, IDLE
1.57, 0.08, 9.79, IDLE
1.59, 0.13, 9.78, IDLE
1.53, 0.09, 9.73, IDLE
1.47, 0.11, 9.79, IDLE
1.38, 0.09, 9.84, IDLE
1.48, 0.08, 9.75, IDLE
1.40, 0.03, 9.81, IDLE
1.13, -0.04, 9.84, IDLE
1.18, -0.11, 9.87, IDLE
1.23, -0.17, 9.80, IDLE
1.10, -0.30, 9.76, IDLE
1.22, -0.11, 9.84, IDLE
1.28, -0.11, 9.81, IDLE
1.25, -0.26, 9.75, IDLE
1.39, -0.04, 9.83, IDLE
1.34, -0.13, 9.81, IDLE
1.41, 0.16, 10.06, IDLE
1.25, -0.02, 9.91, IDLE
1.41, -0.05, 9.59, IDLE
1.11, -0.34, 9.71, IDLE
1.19, -0.32, 9.73, IDLE
1.13, -0.04, 9.84, IDLE
1.18, -0.11, 9.87, IDLE
1.23, -0.17, 9.80, IDLE
1.10, -0.30, 9.76, IDLE
1.22, -0.11, 9.84, IDLE
1.28, -0.11, 9.81, IDLE
1.25, -0.26, 9.75, IDLE
1.39, -0.04, 9.83, IDLE
1.34, -0.13, 9.81, IDLE
1.41, 0.16, 10.06, IDLE
1.25, -0.02, 9.91, IDLE
1.41, -0.05, 9.59, IDLE
1.11, -0.34, 9.71, IDLE
1.19, -0.32, 9.73, IDLE
1.23, -0.11, 9.82, IDLE
1.41, -0.19, 9.79, IDLE
1.34, -0.31, 9.94, IDLE
1.30, -0.28, 9.91, IDLE
1.21, -0.25, 9.81, IDLE
1.10, -0.21, 9.91, IDLE
1.17, -0.22, 9.82, IDLE
1.26, -0.17, 9.80, IDLE
1.18, -0.24, 9.74, IDLE
0.94, -0.31, 9.87, IDLE
